State,Deaths,Population,Crude Rate,Year
Alabama,51909,4858979,1068.3,2015
Alaska,4316,738432,584.5,2015
Arizona,54299,6828065,795.2,2015
Arkansas,31617,2978204,1061.6,2015
California,259206,39144818,662.2,2015
Colorado,36349,5456574,666.2,2015
Connecticut,30535,3590886,850.3,2015
Delaware,8582,945934,907.3,2015
District of Columbia,4871,672228,724.6,2015
Florida,191737,20271272,945.9,2015
Georgia,79942,10214860,782.6,2015
Hawaii,11053,1431603,772.1,2015
Idaho,13026,1654930,787.1,2015
Illinois,106872,12859995,831,2015
Indiana,62713,6619680,947.4,2015
Iowa,29600,3123899,947.5,2015
Kansas,26664,2911641,915.8,2015
Kentucky,46564,4425092,1052.3,2015
Louisiana,43716,4670724,936,2015
Maine,14479,1329328,1089.2,2015
Maryland,47247,6006401,786.6,2015
Massachusetts,57806,6794422,850.8,2015
Michigan,95140,9922576,958.8,2015
Minnesota,42800,5489594,779.7,2015
Mississippi,31783,2992333,1062.1,2015
Missouri,59871,6083672,984.1,2015
Montana,9942,1032949,962.5,2015
Nebraska,16740,1896190,882.8,2015
Nevada,22879,2890845,791.4,2015
New Hampshire,11984,1330608,900.6,2015
New Jersey,72271,8958013,806.8,2015
New Mexico,17685,2085109,848.2,2015
New York,153628,19795791,776.1,2015
North Carolina,89133,10042802,887.5,2015
North Dakota,6223,756927,822.1,2015
Ohio,118188,11613423,1017.7,2015
Oklahoma,39422,3911338,1007.9,2015
Oregon,35705,4028977,886.2,2015
Pennsylvania,132598,12802503,1035.7,2015
Rhode Island,10163,1056298,962.1,2015
South Carolina,47198,4896146,964,2015
South Dakota,7731,858469,900.6,2015
Tennessee,66570,6600299,1008.6,2015
Texas,189654,27469114,690.4,2015
Utah,17334,2995919,578.6,2015
Vermont,5919,626042,945.5,2015
Virginia,65577,8382993,782.3,2015
Washington,54595,7170351,761.4,2015
West Virginia,22752,1844128,1233.8,2015
Wisconsin,51264,5771337,888.3,2015
Wyoming,4778,586107,815.2,2015
