State,Deaths,Population,Crude Rate
Alabama,266073,24388082,1091
Alaska,22287,3689104,604.1
Arizona,288220,35225769,818.2
Arkansas,161185,15002360,1074.4
California,1328284,197000756,674.3
Colorado,189858,28058573,676.6
Connecticut,155365,17893474,868.3
Delaware,45369,4800873,945
District of Columbia,24808,3455574,717.9
Florida,1005114,104645173,960.5
Georgia,415484,52091508,797.6
Hawaii,56330,7124061,790.7
Idaho,69094,8596286,803.8
Illinois,542731,63876458,849.7
Indiana,323477,33343648,970.1
Iowa,150902,15715518,960.2
Kansas,135191,14556872,928.7
Kentucky,240300,22252330,1079.9
Louisiana,225812,23345495,967.3
Maine,73117,6679330,1094.7
Maryland,247365,30163423,820.1
Massachusetts,291352,34260672,850.4
Michigan,486960,49795959,977.9
Minnesota,220508,27836963,792.1
Mississippi,161069,14927838,1079
Missouri,307138,30554084,1005.2
Montana,50441,5257045,959.5
Nebraska,83709,9587058,873.1
Nevada,121739,14943490,814.7
New Hampshire,62209,6724367,925.1
New Jersey,371047,44698836,830.1
New Mexico,93242,10446451,892.6
New York,776902,98386249,789.6
North Carolina,462521,51334713,901
North Dakota,32027,3792411,844.5
Ohio,609389,58264947,1045.9
Oklahoma,201013,19665813,1022.1
Oregon,181664,20673668,878.7
Pennsylvania,669979,64001316,1046.8
Rhode Island,50394,5289039,952.8
South Carolina,246371,25114475,981
South Dakota,39813,4360483,913
Tennessee,347536,33566661,1035.4
Texas,985299,141334032,697.1
Utah,90372,15516032,582.4
Vermont,29818,3124581,954.3
Virginia,340313,42318025,804.2
Washington,281499,37014578,760.5
West Virginia,115642,9089066,1272.3
Wisconsin,263633,28981530,909.7
Wyoming,24459,2907419,841.3
United States,13964424,1625672468,859
