"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	266073	24388082	1091.0
	"Alaska"	"02"	22287	3689104	604.1
	"Arizona"	"04"	288220	35225769	818.2
	"Arkansas"	"05"	161185	15002360	1074.4
	"California"	"06"	1328284	197000756	674.3
	"Colorado"	"08"	189858	28058573	676.6
	"Connecticut"	"09"	155365	17893474	868.3
	"Delaware"	"10"	45369	4800873	945.0
	"District of Columbia"	"11"	24808	3455574	717.9
	"Florida"	"12"	1005114	104645173	960.5
	"Georgia"	"13"	415484	52091508	797.6
	"Hawaii"	"15"	56330	7124061	790.7
	"Idaho"	"16"	69094	8596286	803.8
	"Illinois"	"17"	542731	63876458	849.7
	"Indiana"	"18"	323477	33343648	970.1
	"Iowa"	"19"	150902	15715518	960.2
	"Kansas"	"20"	135191	14556872	928.7
	"Kentucky"	"21"	240300	22252330	1079.9
	"Louisiana"	"22"	225812	23345495	967.3
	"Maine"	"23"	73117	6679330	1094.7
	"Maryland"	"24"	247365	30163423	820.1
	"Massachusetts"	"25"	291352	34260672	850.4
	"Michigan"	"26"	486960	49795959	977.9
	"Minnesota"	"27"	220508	27836963	792.1
	"Mississippi"	"28"	161069	14927838	1079.0
	"Missouri"	"29"	307138	30554084	1005.2
	"Montana"	"30"	50441	5257045	959.5
	"Nebraska"	"31"	83709	9587058	873.1
	"Nevada"	"32"	121739	14943490	814.7
	"New Hampshire"	"33"	62209	6724367	925.1
	"New Jersey"	"34"	371047	44698836	830.1
	"New Mexico"	"35"	93242	10446451	892.6
	"New York"	"36"	776902	98386249	789.6
	"North Carolina"	"37"	462521	51334713	901.0
	"North Dakota"	"38"	32027	3792411	844.5
	"Ohio"	"39"	609389	58264947	1045.9
	"Oklahoma"	"40"	201013	19665813	1022.1
	"Oregon"	"41"	181664	20673668	878.7
	"Pennsylvania"	"42"	669979	64001316	1046.8
	"Rhode Island"	"44"	50394	5289039	952.8
	"South Carolina"	"45"	246371	25114475	981.0
	"South Dakota"	"46"	39813	4360483	913.0
	"Tennessee"	"47"	347536	33566661	1035.4
	"Texas"	"48"	985299	141334032	697.1
	"Utah"	"49"	90372	15516032	582.4
	"Vermont"	"50"	29818	3124581	954.3
	"Virginia"	"51"	340313	42318025	804.2
	"Washington"	"53"	281499	37014578	760.5
	"West Virginia"	"54"	115642	9089066	1272.3
	"Wisconsin"	"55"	263633	28981530	909.7
	"Wyoming"	"56"	24459	2907419	841.3
"Total"			13964424	1625672468	859.0
