State,Number_of_Hospitals,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue($)
Alaska,10,1274,45131,243451,5881291
Alabama,90,15127,577473,2768330,63612420
Arkansas,51,8011,316530,1388729,28471124
Arizona,78,13774,609674,2727388,86444904
California,339,73849,3045511,14096066,457437847
Colorado,58,8314,387278,1744764,70978615
Connecticut,35,8860,361415,1745221,39911961
District of Columbia,7,2179,89404,584481,12958215
Delaware,8,2036,89159,464794,7923100
Florida,218,56410,2479767,11761680,352526170
Georgia,110,22417,909063,4702114,114460459
Hawaii,14,2523,88340,510364,8225506
Iowa,41,6421,258607,1187356,26044388
Idaho,18,2529,112746,447177,13532179
Illinois,142,28773,1332308,5538199,146978960
Indiana,103,15700,667719,3102922,85463122
Kansas,55,6409,269277,1185551,35419764
Kentucky,74,13455,530366,2452724,59500313
Louisiana,110,15118,505577,2441485,60177458
Massachusetts,72,14849,721856,3525656,70098009
Maryland,53,10580,505006,2695070,19379804
Maine,19,2896,110420,539393,11500040
Michigan,106,23312,1061859,4736863,97091309
Minnesota,55,10584,497714,2254754,47817952
Missouri,83,16804,678473,3196879,77582618
Mississippi,69,10059,307165,1466484,35991598
Montana,18,2245,83275,345588,7817729
North Carolina,108,22476,976584,4836537,107527572
North Dakota,10,2011,75325,359828,8905482
Nebraska,27,4232,173118,813507,16191126
New Hampshire,14,2296,103505,503186,13908647
New Jersey,78,20148,851888,4299768,130611597
New Mexico,37,3852,165700,770464,19354532
Nevada,31,5752,288923,1427651,48706377
New York,186,57384,2164933,11700708,269401406
Ohio,149,27970,1240953,5534957,155521675
Oklahoma,91,38521,402418,1877127,50197617
Oregon,37,6273,304261,1364890,29713254
Pennsylvania,177,35006,1368802,6504340,208768131
Rhode Island,11,2456,108844,507396,10518456
South Carolina,67,11671,476832,2359946,62955091
South Dakota,25,2777,94506,393132,12351569
Tennessee,98,18707,765510,3654804,91168184
Texas,364,58568,2573027,12206145,356985281
Utah,36,4822,207260,814990,21178969
Virginia,91,17808,733086,3498604,88482677
Vermont,7,835,38460,198356,4599417
Washington,61,10216,496590,2435486,65965346
Wisconsin,78,11053,471332,2193372,59775413
West Virginia,34,5463,203900,1047450,19993032
Wyoming,14,1280,31125,110659,3130140
