Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Year
United States,0.493,0.065,0.206,0.135,0.014,0.088,2017
Alabama,0.46,0.062,0.206,0.157,0.02,0.095,2017
Alaska,0.452,0.032,0.22,0.089,0.068,0.139,2017
Arizona,0.449,0.058,0.223,0.153,0.016,0.1,2017
Arkansas,0.415,0.063,0.27,0.155,0.017,0.08,2017
California,0.471,0.074,0.264,0.108,0.009,0.072,2017
Colorado,0.508,0.075,0.197,0.122,0.024,0.075,2017
Connecticut,0.538,0.059,0.203,0.136,0.007,0.056,2017
Delaware,0.531,0.052,0.179,0.167,0.015,0.056,2017
District of Columbia,0.532,0.062,0.281,0.078,0.012,0.036,2017
Florida,0.397,0.097,0.186,0.172,0.019,0.129,2017
Georgia,0.486,0.065,0.174,0.118,0.023,0.134,2017
Hawaii,0.541,0.048,0.175,0.147,0.05,0.038,2017
Idaho,0.465,0.095,0.175,0.14,0.018,0.107,2017
Illinois,0.534,0.06,0.2,0.131,0.006,0.069,2017
Indiana,0.529,0.054,0.181,0.142,0.009,0.084,2017
Iowa,0.553,0.067,0.18,0.148,0.008,0.044,2017
Kansas,0.546,0.069,0.135,0.139,0.025,0.085,2017
Kentucky,0.464,0.045,0.271,0.151,0.014,0.055,2017
Louisiana,0.435,0.058,0.283,0.127,0.015,0.083,2017
Maine,0.492,0.065,0.181,0.167,0.017,0.078,2017
Maryland,0.562,0.056,0.178,0.124,0.018,0.061,2017
Massachusetts,0.552,0.054,0.236,0.125,0.005,0.028,2017
Michigan,0.514,0.054,0.224,0.151,0.006,0.051,2017
Minnesota,0.575,0.058,0.173,0.142,0.007,0.045,2017
Mississippi,0.42,0.06,0.244,0.134,0.021,0.121,2017
Missouri,0.515,0.07,0.149,0.16,0.015,0.091,2017
Montana,0.436,0.094,0.193,0.164,0.022,0.091,2017
Nebraska,0.556,0.079,0.125,0.134,0.02,0.086,2017
Nevada,0.493,0.053,0.189,0.136,0.018,0.111,2017
New Hampshire,0.573,0.056,0.138,0.168,0.009,0.057,2017
New Jersey,0.56,0.057,0.171,0.131,0.005,0.076,2017
New Mexico,0.362,0.048,0.336,0.141,0.021,0.091,2017
New York,0.494,0.059,0.263,0.122,0.01,0.057,2017
North Carolina,0.463,0.072,0.184,0.146,0.027,0.107,2017
North Dakota,0.58,0.091,0.107,0.131,0.016,0.075,2017
Ohio,0.521,0.048,0.211,0.153,0.009,0.058,2017
Oklahoma,0.453,0.059,0.18,0.147,0.021,0.14,2017
Oregon,0.471,0.071,0.229,0.152,0.01,0.068,2017
Pennsylvania,0.522,0.059,0.197,0.16,0.006,0.055,2017
Rhode Island,0.512,0.06,0.236,0.139,0.008,0.045,2017
South Carolina,0.453,0.061,0.19,0.161,0.023,0.111,2017
South Dakota,0.523,0.088,0.137,0.144,0.016,0.092,2017
Tennessee,0.476,0.06,0.205,0.146,0.019,0.094,2017
Texas,0.475,0.061,0.17,0.103,0.017,0.174,2017
Utah,0.601,0.09,0.112,0.096,0.012,0.09,2017
Vermont,0.463,0.049,0.281,0.158,0.007,0.042,2017
Virginia,0.537,0.069,0.119,0.139,0.048,0.088,2017
Washington,0.518,0.061,0.208,0.133,0.02,0.061,2017
West Virginia,0.429,0.037,0.28,0.184,0.013,0.058,2017
Wisconsin,0.566,0.06,0.168,0.148,0.007,0.051,2017
Wyoming,0.521,0.066,0.126,0.142,0.021,0.123,2017
Puerto Rico,0.234,0.086,0.469,0.137,0.006,0.068,2017
