State,Deaths,Population,Crude Rate,Number_of_Hospitals,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue($),Employer Insurance,Non-Group Insurance,Medicaid Insurance,Medicare Insurance,Military Insurance,Uninsured,Average of All_Ages_SAIPE_Poverty_Universe,Average of All_Ages_in_Poverty_Count,Average of All_Ages_in_Poverty_Percent,Average of Median_Household_Income_in_Dollars
Alabama,266073,24388082,1091,90,15127,577473,2768330,63612420,0.4674,0.0598,0.1996,0.1554,0.0204,0.0976,4755140.2,808309.8,17,48197.4
Alaska,22287,3689104,604.1,10,1274,45131,243451,5881291,0.4726,0.0398,0.2074,0.0876,0.0596,0.1328,719958.4,75908.4,10.52,75141.6
Arizona,288220,35225769,818.2,78,13774,609674,2727388,86444904,0.4422,0.06,0.2224,0.154,0.0158,0.1056,6885729.4,1048566.8,15.26,56513.6
Arkansas,161185,15002360,1074.4,51,8011,316530,1388729,28471124,0.4176,0.0622,0.2656,0.1538,0.0154,0.0856,2911377.8,494977,17,45696.4
California,1328284,197000756,674.3,339,73849,3045511,14096066,457437847,0.4692,0.0728,0.2634,0.1082,0.0098,0.0762,38651294.2,5224283.8,13.54,71931.2
Colorado,189858,28058573,676.6,58,8314,387278,1744764,70978615,0.5136,0.0764,0.1872,0.1224,0.0232,0.0776,5491591.4,570163.2,10.38,69565.8
Connecticut,155365,17893474,868.3,35,8860,361415,1745221,39911961,0.5388,0.0576,0.2044,0.1356,0.007,0.0556,3472342.8,350061.8,10.08,74885.4
Delaware,45369,4800873,945,8,2036,89159,464794,7923100,0.5136,0.0498,0.1992,0.1642,0.0144,0.0588,933580.6,113551.4,12.16,64667.8
District of Columbia,24808,3455574,717.9,7,2179,89404,584481,12958215,0.5344,0.0668,0.2726,0.0792,0.0108,0.0362,657676.2,109051.2,16.6,80057.8
Florida,1005114,104645173,960.5,218,56410,2479767,11761680,352526170,0.396,0.0984,0.1836,0.1732,0.0188,0.1302,20508572,2910688.8,14.22,53497.2
Georgia,415484,52091508,797.6,110,22417,909063,4702114,114460459,0.482,0.0646,0.1756,0.1196,0.0232,0.1348,10141852.2,1547262.8,15.28,56278.8
Hawaii,56330,7124061,790.7,14,2523,88340,510364,8225506,0.5458,0.0464,0.1762,0.1452,0.0484,0.0382,1386733.2,132587.8,9.54,77990.6
Idaho,69094,8596286,803.8,18,2529,112746,447177,13532179,0.4714,0.0966,0.167,0.1416,0.016,0.1078,1687656.4,214833,12.76,53718.4
Iowa,150902,15715518,960.2,41,6421,258607,1187356,26044388,0.5452,0.063,0.1894,0.1482,0.0086,0.0458,3042524,345848.2,11.36,58356.2
Illinois,542731,63876458,849.7,142,28773,1332308,5538199,146978960,0.536,0.0606,0.1956,0.1318,0.0064,0.0698,12477142,1563408,12.52,63577.2
Indiana,323477,33343648,970.1,103,15700,667719,3102922,85463122,0.532,0.0518,0.1764,0.1434,0.0088,0.0874,6464135.4,860376.2,13.32,54055
Kansas,135191,14556872,928.7,55,6409,269277,1185551,35419764,0.5428,0.0696,0.1376,0.1392,0.0226,0.0882,2827342.4,340407.2,12.04,57038
Kentucky,240300,22252330,1079.9,74,13455,530366,2452724,59500313,0.4664,0.0458,0.2632,0.1516,0.0154,0.0576,4311803.6,744723,17.26,48513
Louisiana,225812,23345495,967.3,110,15118,505577,2441485,60177458,0.4316,0.0592,0.2698,0.1296,0.0154,0.0948,4537137.8,877477.4,19.34,47323
Maine,73117,6679330,1094.7,19,2896,110420,539393,11500040,0.4774,0.0664,0.1918,0.168,0.016,0.0804,1299222.2,154245.2,11.86,54945.6
Massachusetts,291352,34260672,850.4,72,14849,721856,3525656,70098009,0.5558,0.0534,0.2332,0.1246,0.0062,0.0276,6615396.8,686743,10.4,77753.6
Maryland,247365,30163423,820.1,53,10580,505006,2695070,19379804,0.5562,0.058,0.1808,0.1248,0.0186,0.0616,5890347.6,557849,9.44,81000.4
Michigan,486960,49795959,977.9,106,23312,1061859,4736863,97091309,0.5086,0.0548,0.2236,0.1516,0.0062,0.0552,9735448.6,1396210.2,14.32,54900.2
Minnesota,220508,27836963,792.1,55,10584,497714,2254754,47817952,0.5704,0.0622,0.1762,0.1396,0.007,0.0446,5443459.2,522972.6,9.62,68446
Mississippi,161069,14927838,1079,69,10059,307165,1466484,35991598,0.4206,0.0564,0.2452,0.1358,0.0188,0.1232,2888718.2,590135,20.46,43337.2
Missouri,307138,30554084,1005.2,83,16804,678473,3196879,77582618,0.5174,0.0676,0.1474,0.1578,0.015,0.0948,5927684,809328.8,13.66,53441.2
Montana,50441,5257045,959.5,18,2245,83275,345588,7817729,0.4368,0.0898,0.194,0.1682,0.0206,0.091,1026096.6,135369.6,13.2,53134.6
Nebraska,83709,9587058,873.1,27,4232,173118,813507,16191126,0.556,0.0792,0.1282,0.1352,0.0178,0.0834,1862344.6,204867.8,11.02,58995.8
North Carolina,462521,51334713,901,108,22476,976584,4836537,107527572,0.4598,0.0744,0.1834,0.1462,0.0264,0.1096,9996910.4,1480845.8,14.84,52517.2
Nevada,121739,14943490,814.7,31,5752,288923,1427651,48706377,0.4858,0.0586,0.1878,0.1352,0.0178,0.1148,2946159,400247.2,13.62,57537
New Hampshire,62209,6724367,925.1,14,2296,103505,503186,13908647,0.5738,0.0548,0.1342,0.1658,0.0106,0.0612,1301537.8,100996.4,7.76,73704
New Jersey,371047,44698836,830.1,78,20148,851888,4299768,130611597,0.5592,0.0556,0.1704,0.1308,0.008,0.0788,8766904.8,874114.6,9.96,79243.6
North Dakota,32027,3792411,844.5,10,2011,75325,359828,8905482,0.5638,0.0924,0.1124,0.1322,0.0222,0.0774,733544.6,76981.4,10.5,63724.8
New Mexico,93242,10446451,892.6,37,3852,165700,770464,19354532,0.3652,0.0462,0.3274,0.144,0.0206,0.0962,2046617,385976,18.84,47776
New York,776902,98386249,789.6,186,57384,2164933,11700708,269401406,0.4946,0.0578,0.2608,0.1232,0.0068,0.059,19164349.2,2728039.8,14.24,65594.8
Ohio,609389,58264947,1045.9,149,27970,1240953,5534957,155521675,0.5222,0.0464,0.208,0.1526,0.0088,0.0622,11327625.8,1585679,14,54475.8
Oklahoma,201013,19665813,1022.1,91,38521,402418,1877127,50197617,0.455,0.0604,0.1762,0.1466,0.0204,0.1412,3817396.6,599407,15.7,50842.2
Oregon,181664,20673668,878.7,37,6273,304261,1364890,29713254,0.4732,0.0688,0.226,0.1538,0.0098,0.0686,4056524.6,532991.4,13.16,60339.8
Pennsylvania,669979,64001316,1046.8,177,35006,1368802,6504340,208768131,0.521,0.0598,0.197,0.1578,0.0064,0.0578,12386662.4,1552452.2,12.54,59218.2
Rhode Island,50394,5289039,952.8,11,2456,108844,507396,10518456,0.5224,0.0594,0.2248,0.141,0.008,0.0444,1017167.4,130449.6,12.82,62880.8
South Carolina,246371,25114475,981,67,11671,476832,2359946,62955091,0.453,0.0636,0.194,0.1602,0.0232,0.1062,4880244.2,746476.6,15.32,51275.8
South Dakota,39813,4360483,913,25,2777,94506,393132,12351569,0.5126,0.0882,0.1348,0.147,0.0222,0.0954,842564.6,107671.4,12.8,56503
Tennessee,347536,33566661,1035.4,98,18707,765510,3654804,91168184,0.4706,0.0618,0.204,0.1458,0.0192,0.0984,6548861.8,1000998,15.3,51096.2
Texas,985299,141334032,697.1,364,58568,2573027,12206145,356985281,0.4724,0.0632,0.1696,0.1038,0.017,0.1742,27639031,4129985,14.94,59224.4
Utah,90372,15516032,582.4,36,4822,207260,814990,21178969,0.599,0.0926,0.1068,0.0962,0.0118,0.0936,3054715.8,299527.6,9.8,68874.6
Vermont,29818,3124581,954.3,7,835,38460,198356,4599417,0.4816,0.0552,0.2556,0.1588,0.0082,0.0404,600179.8,64118.2,10.66,59405
Virginia,340313,42318025,804.2,91,17808,733086,3498604,88482677,0.5396,0.0654,0.1218,0.1406,0.0458,0.0872,8210791.8,879150,10.7,70995.8
Washington,281499,37014578,760.5,61,10216,496590,2435486,65965346,0.5144,0.061,0.2078,0.133,0.021,0.0632,7267503.2,792429.6,10.92,70956.6
West Virginia,115642,9089066,1272.3,34,5463,203900,1047450,19993032,0.4394,0.0336,0.2726,0.184,0.0124,0.058,1765618.4,310858,17.6,44215.8
Wisconsin,263633,28981530,909.7,78,11053,471332,2193372,59775413,0.563,0.058,0.1682,0.1478,0.0078,0.0548,5646903.4,639945.6,11.34,59337.4
Wyoming,24459,2907419,841.3,14,1280,31125,110659,3130140,0.5298,0.0744,0.118,0.1424,0.022,0.1132,567135.8,60079,10.58,62517.8
